vertices, edges, vCount, eCount, qCount
10, 20, 8, 20, 8
10, 21, 10, 21, 14
10, 22, 8, 17, 2
10, 23, 10, 23, 14
10, 24, 8, 18, 4
10, 25, 10, 25, 12
10, 26, 9, 23, 16
10, 27, 10, 27, 14
10, 28, 9, 27, 16
10, 29, 10, 29, 20
10, 30, 10, 30, 18
10, 31, 10, 31, 14
10, 32, 9, 27, 14
10, 33, 10, 33, 16
10, 34, 10, 34, 30
10, 35, 10, 35, 28
10, 36, 10, 36, 16
10, 37, 10, 37, 20
10, 38, 10, 38, 28
10, 39, 10, 39, 18
10, 40, 10, 40, 14
10, 41, 10, 41, 16
10, 42, 10, 42, 22
10, 43, 10, 43, 14
10, 44, 10, 44, 20
10, 45, 10, 45, 22
10, 46, 9, 43, 14
10, 47, 10, 47, 22
10, 48, 10, 48, 18
10, 49, 10, 49, 29
10, 50, 10, 50, 26
10, 51, 10, 51, 39
10, 52, 10, 52, 19
10, 53, 10, 53, 20
10, 54, 10, 54, 16
10, 55, 10, 55, 34
10, 56, 10, 56, 32
10, 57, 10, 57, 20
10, 58, 10, 58, 30
10, 59, 10, 59, 34
10, 60, 10, 60, 28
10, 61, 10, 61, 20
10, 62, 10, 62, 34
10, 63, 10, 63, 34
10, 64, 10, 64, 35
10, 65, 10, 65, 50
10, 66, 10, 66, 39
10, 67, 10, 67, 30
10, 68, 10, 68, 39
10, 69, 10, 69, 26
20, 40, 17, 35, 20
20, 44, 16, 32, 34
20, 48, 20, 48, 38
20, 52, 17, 45, 26
20, 56, 18, 51, 28
20, 60, 19, 58, 28
20, 64, 19, 61, 66
20, 68, 18, 62, 66
20, 72, 20, 72, 56
20, 76, 20, 76, 38
20, 80, 20, 80, 68
20, 84, 20, 84, 64
20, 88, 20, 88, 80
20, 92, 18, 81, 72
20, 96, 20, 96, 72
20, 100, 20, 100, 92
20, 104, 20, 104, 80
20, 108, 20, 108, 74
20, 112, 20, 112, 87
20, 116, 20, 116, 84
20, 120, 20, 120, 91
20, 124, 20, 124, 78
20, 128, 20, 128, 76
20, 132, 20, 132, 124
20, 136, 20, 136, 97
20, 140, 19, 130, 104
20, 144, 20, 144, 129
20, 148, 20, 148, 120
20, 152, 20, 152, 168
20, 156, 20, 156, 145
20, 160, 20, 160, 85
20, 164, 20, 164, 93
20, 168, 20, 168, 134
20, 172, 20, 172, 156
20, 176, 20, 176, 129
20, 180, 20, 180, 119
20, 184, 20, 184, 127
20, 188, 20, 188, 164
20, 192, 20, 192, 123
20, 196, 20, 196, 133
20, 200, 20, 200, 101
20, 204, 20, 204, 174
20, 208, 20, 208, 179
20, 212, 20, 212, 133
20, 216, 20, 216, 119
20, 220, 20, 220, 109
20, 224, 20, 224, 187
20, 228, 20, 228, 157
20, 232, 20, 232, 139
20, 236, 20, 236, 183
30, 60, 18, 34, 24
30, 71, 26, 61, 70
30, 82, 30, 82, 76
30, 93, 29, 88, 102
30, 104, 26, 93, 90
30, 115, 27, 103, 114
30, 126, 30, 126, 154
30, 137, 30, 137, 153
30, 148, 30, 148, 124
30, 159, 30, 159, 228
30, 170, 30, 170, 118
30, 181, 30, 181, 236
30, 192, 30, 192, 203
30, 203, 30, 203, 215
30, 214, 30, 214, 253
30, 225, 30, 225, 269
30, 236, 30, 236, 240
30, 247, 30, 247, 261
30, 258, 30, 258, 275
30, 269, 30, 269, 291
30, 280, 30, 280, 300
30, 291, 30, 291, 295
30, 302, 30, 302, 280
30, 313, 30, 313, 241
30, 324, 30, 324, 301
30, 335, 30, 335, 279
30, 346, 30, 346, 261
30, 357, 30, 357, 303
30, 368, 30, 368, 275
30, 379, 30, 379, 307
30, 390, 30, 390, 299
30, 401, 30, 401, 291
30, 412, 30, 412, 283
30, 423, 30, 423, 311
30, 434, 30, 434, 335
30, 445, 30, 445, 315
30, 456, 30, 456, 359
30, 467, 30, 467, 313
30, 478, 30, 478, 351
30, 489, 30, 489, 261
30, 500, 30, 500, 359
30, 511, 30, 511, 261
30, 522, 30, 522, 313
30, 533, 30, 533, 287
30, 544, 30, 544, 307
30, 555, 30, 555, 373
30, 566, 30, 566, 347
30, 577, 30, 577, 331
30, 588, 30, 588, 291
30, 599, 30, 599, 311
40, 80, 35, 67, 58
40, 99, 39, 95, 118
40, 118, 39, 116, 154
40, 137, 40, 137, 144
40, 156, 39, 153, 204
40, 175, 39, 172, 252
40, 194, 40, 194, 214
40, 213, 40, 213, 312
40, 232, 40, 232, 344
40, 251, 39, 244, 316
40, 270, 40, 270, 310
40, 289, 40, 289, 355
40, 308, 40, 308, 306
40, 327, 40, 327, 406
40, 346, 40, 346, 425
40, 365, 40, 365, 411
40, 384, 40, 384, 399
40, 403, 40, 403, 411
40, 422, 40, 422, 415
40, 441, 40, 441, 467
40, 460, 40, 460, 463
40, 479, 40, 479, 377
40, 498, 40, 498, 471
40, 517, 40, 517, 419
40, 536, 40, 536, 385
40, 555, 40, 555, 439
40, 574, 40, 574, 493
40, 593, 40, 593, 445
40, 612, 40, 612, 453
40, 631, 40, 631, 449
40, 650, 40, 650, 411
40, 669, 40, 669, 471
40, 688, 40, 688, 491
40, 707, 40, 707, 479
40, 726, 40, 726, 429
40, 745, 40, 745, 487
40, 764, 40, 764, 513
40, 783, 40, 783, 561
40, 802, 40, 802, 579
40, 821, 40, 821, 543
40, 840, 40, 840, 517
40, 859, 40, 859, 439
40, 878, 40, 878, 569
40, 897, 40, 897, 585
40, 916, 40, 916, 523
40, 935, 40, 935, 507
40, 954, 40, 954, 527
40, 973, 40, 973, 435
40, 992, 40, 992, 457
40, 1011, 40, 1011, 525
50, 100, 37, 70, 60
50, 130, 47, 122, 170
50, 160, 48, 154, 196
50, 190, 50, 190, 358
50, 220, 48, 213, 340
50, 250, 50, 250, 436
50, 280, 50, 280, 410
50, 310, 50, 310, 496
50, 340, 50, 340, 446
50, 370, 50, 370, 416
50, 400, 50, 400, 517
50, 430, 50, 430, 483
50, 460, 50, 460, 589
50, 490, 50, 490, 585
50, 520, 50, 520, 541
50, 550, 50, 550, 627
50, 580, 50, 580, 605
50, 610, 50, 610, 665
50, 640, 50, 640, 581
