vertices, edges, vCount, eCount, qCount
5, 11, 5, 11, 4
5, 11, 5, 11, 4
5, 11, 5, 11, 8
5, 11, 5, 11, 2
5, 11, 5, 11, 0
5, 11, 4, 8, 0
5, 11, 5, 11, 2
5, 11, 5, 11, 4
5, 11, 5, 11, 0
5, 11, 5, 11, 6
5, 11, 5, 11, 2
5, 11, 5, 11, 2
5, 11, 5, 11, 0
5, 11, 5, 11, 6
5, 11, 5, 11, 0
5, 11, 5, 11, 2
5, 11, 5, 11, 0
5, 11, 5, 11, 2
5, 11, 5, 11, 2
5, 11, 5, 11, 0
5, 11, 5, 11, 0
5, 11, 5, 11, 6
5, 11, 4, 8, 2
5, 11, 5, 11, 0
5, 11, 5, 11, 4
5, 11, 5, 11, 0
5, 11, 5, 11, 2
5, 11, 5, 11, 0
5, 11, 5, 11, 6
5, 11, 5, 11, 6
10, 45, 10, 45, 20
10, 46, 9, 40, 20
10, 47, 10, 47, 25
10, 48, 10, 48, 18
10, 49, 10, 49, 26
10, 50, 10, 50, 12
10, 51, 10, 51, 42
10, 52, 10, 52, 18
10, 53, 10, 53, 40
10, 54, 10, 54, 24
10, 55, 10, 55, 37
10, 56, 10, 56, 22
10, 57, 10, 57, 41
10, 58, 10, 58, 48
10, 59, 10, 59, 30
10, 60, 10, 60, 16
10, 61, 10, 61, 32
10, 62, 10, 62, 18
10, 63, 10, 63, 34
10, 64, 10, 64, 42
10, 65, 10, 65, 18
10, 66, 10, 66, 14
10, 67, 10, 67, 30
10, 68, 10, 68, 34
10, 69, 10, 69, 40
10, 70, 10, 70, 34
10, 71, 10, 71, 35
10, 72, 10, 72, 32
10, 73, 10, 73, 38
10, 74, 10, 74, 40
15, 101, 15, 101, 61
15, 104, 15, 104, 74
15, 107, 15, 107, 72
15, 110, 15, 110, 65
15, 113, 15, 113, 58
15, 116, 15, 116, 50
15, 119, 15, 119, 73
15, 122, 15, 122, 79
15, 125, 15, 125, 71
15, 128, 15, 128, 73
15, 131, 15, 131, 77
15, 134, 15, 134, 71
15, 137, 15, 137, 97
15, 140, 15, 140, 103
15, 143, 15, 143, 64
15, 146, 15, 146, 83
15, 149, 15, 149, 69
15, 152, 15, 152, 77
15, 155, 15, 155, 75
15, 158, 15, 158, 67
15, 161, 15, 161, 66
15, 164, 15, 164, 69
15, 167, 15, 167, 101
15, 170, 15, 170, 77
15, 173, 15, 173, 81
15, 176, 15, 176, 71
15, 179, 15, 179, 73
15, 182, 15, 182, 83
15, 185, 15, 185, 75
15, 188, 15, 188, 82
20, 180, 20, 180, 90
20, 186, 20, 186, 145
20, 192, 20, 192, 119
20, 198, 20, 198, 140
20, 204, 20, 204, 133
20, 210, 20, 210, 147
20, 216, 20, 216, 171
20, 222, 20, 222, 149
20, 228, 20, 228, 102
20, 234, 20, 234, 159
20, 240, 20, 240, 114
20, 246, 20, 246, 211
20, 252, 20, 252, 135
20, 258, 20, 258, 165
20, 264, 20, 264, 179
20, 270, 20, 270, 129
20, 276, 20, 276, 127
20, 282, 20, 282, 119
20, 288, 20, 288, 145
20, 294, 20, 294, 139
20, 300, 20, 300, 175
20, 306, 20, 306, 187
20, 312, 20, 312, 187
20, 318, 20, 318, 217
20, 324, 20, 324, 153
20, 330, 20, 330, 173
20, 336, 20, 336, 169
20, 342, 20, 342, 189
20, 348, 20, 348, 211
20, 354, 20, 354, 175
25, 281, 25, 281, 258
25, 290, 25, 290, 187
25, 299, 25, 299, 253
25, 308, 25, 308, 207
25, 317, 25, 317, 213
25, 326, 25, 326, 257
25, 335, 25, 335, 245
25, 344, 25, 344, 245
25, 353, 25, 353, 269
25, 362, 25, 362, 245
25, 371, 25, 371, 225
25, 380, 25, 380, 225
25, 389, 25, 389, 261
25, 398, 25, 398, 237
25, 407, 25, 407, 223
25, 416, 25, 416, 267
25, 425, 25, 425, 275
25, 434, 25, 434, 261
25, 443, 25, 443, 302
25, 452, 25, 452, 259
25, 461, 25, 461, 269
25, 470, 25, 470, 291
25, 479, 25, 479, 217
25, 488, 25, 488, 275
25, 497, 25, 497, 281
25, 506, 25, 506, 251
25, 515, 25, 515, 243
25, 524, 25, 524, 251
25, 533, 25, 533, 241
25, 542, 25, 542, 271
