vertices, edges, vCount, eCount, qCount
10, 2, 2, 1, 0
10, 4, 2, 1, 0
10, 6, 4, 4, 4
10, 8, 4, 3, 0
10, 10, 7, 8, 6
10, 12, 4, 3, 0
10, 14, 6, 8, 0
10, 16, 10, 16, 18
10, 18, 9, 17, 4
10, 20, 10, 20, 12
10, 22, 7, 13, 8
10, 24, 10, 24, 16
10, 26, 10, 26, 14
10, 28, 10, 28, 8
10, 30, 9, 27, 14
10, 32, 9, 29, 14
10, 34, 10, 34, 28
10, 36, 10, 36, 12
10, 38, 10, 38, 30
10, 40, 10, 40, 14
15, 5, 2, 1, 0
15, 10, 5, 4, 2
15, 15, 2, 1, 0
15, 20, 13, 20, 12
15, 25, 10, 13, 10
15, 30, 10, 19, 16
15, 35, 14, 34, 24
15, 40, 11, 28, 16
15, 45, 14, 42, 42
15, 50, 15, 50, 24
15, 55, 15, 55, 66
15, 60, 15, 60, 54
15, 65, 15, 65, 54
15, 70, 15, 70, 47
15, 75, 15, 75, 44
15, 80, 15, 80, 65
15, 85, 15, 85, 66
15, 90, 15, 90, 68
15, 95, 15, 95, 54
15, 100, 15, 100, 78
20, 9, 3, 2, 0
20, 18, 6, 5, 0
20, 27, 16, 23, 10
20, 36, 18, 35, 36
20, 45, 15, 31, 24
20, 54, 15, 41, 30
20, 63, 16, 54, 50
20, 72, 20, 72, 52
20, 81, 20, 81, 78
20, 90, 20, 90, 74
20, 99, 20, 99, 68
20, 108, 20, 108, 77
20, 117, 20, 117, 104
20, 126, 20, 126, 109
20, 135, 20, 135, 82
20, 144, 20, 144, 80
20, 153, 20, 153, 98
20, 162, 20, 162, 153
20, 171, 20, 171, 106
20, 180, 20, 180, 129
25, 14, 5, 4, 0
25, 28, 7, 7, 4
25, 42, 19, 33, 24
25, 56, 24, 56, 44
25, 70, 24, 66, 40
25, 84, 25, 84, 86
25, 98, 25, 98, 92
25, 112, 25, 112, 98
25, 126, 25, 126, 94
25, 140, 25, 140, 136
25, 154, 25, 154, 122
25, 168, 25, 168, 174
25, 182, 25, 182, 190
25, 196, 25, 196, 173
25, 210, 25, 210, 165
25, 224, 25, 224, 205
25, 238, 25, 238, 241
25, 252, 25, 252, 213
25, 266, 25, 266, 211
25, 280, 25, 280, 271
